player_name,team,games,field_goals_made,field_goals_attempts,kick_1_19_made,kick_1_19_attempts,kick_20_29_made,kick_20_29_attempts,kick_30_39_made,kick_30_39_attempts,kick_40_49_made,kick_40_49_attempts,kick_50_59_made,kick_50_59_attempts,kick_60_plus_made,kick_60_plus_attempts,team_id,player_id_team
Johnny Hekker,Carolina Panthers,17,,,,,,,,,,,,,,,CAR,johnny-hekker-CAR
Bradley Pinion,Atlanta Falcons,17,,,,,,,,,,,,,,,ATL,bradley-pinion-ATL
Dare Ogunbowale,Houston Texans,17,,,,,,,,,,,,,,,HOU,dare-ogunbowale-HOU
Tyler Bass,Buffalo Bills,17,24,29,0,0,6,7,7,7,7,11,3,3,1,1,BUF,tyler-bass-BUF
Jake Bates,Detroit Lions,17,26,29,0,0,3,3,10,10,7,8,6,7,0,1,DET,jake-bates-DET
Cameron Dicker,Los Angeles Chargers,17,39,42,1,1,9,9,9,9,11,12,9,11,0,0,LAC,cameron-dicker-LAC
Ka'imi Fairbairn,Houston Texans,17,36,42,0,0,8,10,11,11,4,5,13,16,0,0,HOU,ka-imi-fairbairn-HOU
Nick Folk,Tennessee Titans,14,21,22,0,0,5,5,2,2,8,9,6,6,0,0,TEN,nick-folk-TEN
Graham Gano,New York Giants,10,9,11,0,0,2,2,1,2,4,5,2,2,0,0,NYG,graham-gano-NYG
Matt Gay,Indianapolis Colts,16,31,37,0,0,9,9,12,12,7,7,3,9,0,0,IND,matt-gay-IND
Blake Grupe,New Orleans Saints,17,27,31,0,0,4,4,10,11,7,8,6,7,0,1,NO,blake-grupe-NO
Younghoe Koo,Atlanta Falcons,14,25,34,0,0,7,7,5,7,7,11,6,9,0,0,ATL,younghoe-koo-ATL
Brandon McManus,Green Bay Packers,11,20,21,0,0,5,5,9,9,3,4,3,3,0,0,GB,brandon-mcmanus-GB
Jason Myers,Seattle Seahawks,17,26,30,0,0,4,4,6,6,7,8,9,10,0,2,SEA,jason-myers-SEA
Justin Reid,Kansas City Chiefs,16,,,,,,,,,,,,,,,KC,justin-reid-KC
Jason Sanders,Miami Dolphins,17,37,41,0,0,7,7,13,13,5,7,12,14,0,0,MIA,jason-sanders-MIA
Justin Tucker,Baltimore Ravens,17,22,30,0,0,4,4,7,7,5,8,6,11,0,0,BAL,justin-tucker-BAL
Mitch Wishnowsky,San Francisco 49ers,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,SF,mitch-wishnowsky-SF
Matthew Wright,Tennessee Titans,2,4,4,0,0,1,1,3,3,0,0,0,0,0,0,TEN,matthew-wright-TEN
Chris Boswell,Pittsburgh Steelers,17,41,44,0,0,9,9,12,12,7,8,13,14,0,1,PIT,chris-boswell-PIT
Brandon Aubrey,Dallas Cowboys,17,40,47,0,0,4,4,8,10,14,16,12,13,2,4,DAL,brandon-aubrey-DAL
Daniel Carlson,Las Vegas Raiders,17,34,40,0,0,10,10,11,11,6,8,7,11,0,0,LV,daniel-carlson-LV
Wil Lutz,Denver Broncos,17,31,34,0,0,2,2,13,14,11,11,5,6,0,1,DEN,wil-lutz-DEN
Chase McLaughlin,Tampa Bay Buccaneers,17,30,32,0,0,11,11,7,7,4,4,8,10,0,0,TB,chase-mclaughlin-TB
Joshua Karty,Los Angeles Rams,17,29,34,0,0,10,11,9,10,4,6,6,7,0,0,LAR,joshua-karty-LAR
Jake Elliott,Philadelphia Eagles,17,28,36,0,0,9,9,10,11,8,9,1,6,0,1,PHI,jake-elliott-PHI
Chad Ryland,Arizona Cardinals,13,28,32,0,0,6,6,11,11,7,11,4,4,0,0,ARI,chad-ryland-ARI
Cam Little,Jacksonville Jaguars,17,27,29,0,0,8,8,6,6,8,9,5,6,0,0,JAX,cam-little-JAX
Austin Seibert,Washington Commanders,9,27,30,0,0,10,10,7,7,8,8,2,5,0,0,WAS,austin-seibert-WAS
Joey Slye,New England Patriots,17,26,33,0,0,5,6,10,11,5,7,5,7,1,2,NE,joey-slye-NE
Jake Moody,San Francisco 49ers,14,24,34,0,0,9,9,5,5,6,11,4,9,0,0,SF,jake-moody-SF
Will Reichard,Minnesota Vikings,13,24,30,0,0,5,5,6,7,5,7,8,11,0,0,MIN,will-reichard-MIN
Eddy Pineiro,Carolina Panthers,17,22,26,0,0,7,7,8,9,6,8,1,2,0,0,CAR,eddy-pineiro-CAR
Harrison Butker,Kansas City Chiefs,13,21,25,1,1,7,8,7,7,4,4,2,4,0,1,KC,harrison-butker-KC
Cairo Santos,Chicago Bears,17,21,25,0,0,4,4,4,4,5,8,8,9,0,0,CHI,cairo-santos-CHI
Dustin Hopkins,Cleveland Browns,16,18,27,0,0,3,4,6,7,5,8,4,8,0,0,CLE,dustin-hopkins-CLE
Greg Joseph,New York Jets,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NYJ,greg-joseph-NYJ
Evan McPherson,Cincinnati Bengals,12,16,22,0,0,6,6,4,4,3,5,3,7,0,0,CIN,evan-mcpherson-CIN
Anders Carlson,New York Jets,5,8,10,0,0,2,2,2,2,3,5,1,1,0,0,NYJ,anders-carlson-NYJ
Brayden Narveson,Tennessee Titans,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TEN,brayden-narveson-TEN
John Parker Romo,Minnesota Vikings,4,11,12,0,0,3,3,3,3,4,5,1,1,0,0,MIN,john-parker-romo-MIN
Cade York,Cincinnati Bengals,5,9,11,0,0,5,5,2,3,1,2,1,1,0,0,CIN,cade-york-CIN
Greg Zuerlein,New York Jets,8,9,15,0,0,4,4,4,6,1,4,0,1,0,0,NYJ,greg-zuerlein-NYJ
Matt Prater,Arizona Cardinals,4,6,6,0,0,1,1,1,1,3,3,1,1,0,0,ARI,matt-prater-ARI
Zane Gonzalez,Washington Commanders,6,5,7,0,0,0,0,1,1,4,5,0,1,0,0,WAS,zane-gonzalez-WAS
Spencer Shrader,Kansas City Chiefs,2,3,3,0,0,1,1,1,1,1,1,0,0,0,0,KC,spencer-shrader-KC
Riley Patterson,Atlanta Falcons,3,4,7,0,0,0,0,3,3,0,1,1,3,0,0,ATL,riley-patterson-ATL
Riley Patterson,Cleveland Browns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,riley-patterson-CLE
Jude McAtamney,New York Giants,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,NYG,jude-mcatamney-NYG
Jamie Gillan,New York Giants,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYG,jamie-gillan-NYG
